province_territory,claim_office_type,total_flag,year_month,year,month,value
Nunavut,Inland,False,2017-04,2017,4,0
Province/Territory of claim not stated,Inland,False,2017-04,2017,4,0
,Inland - Total,True,2017-04,2017,4,1570
,Other Offices,False,2017-04,2017,4,5
,Total ,True,2017-04,2017,4,3070
Newfoundland and Labrador,Airport,False,2017-05,2017,5,5
Nova Scotia,Airport,False,2017-05,2017,5,5
New Brunswick,Airport,False,2017-05,2017,5,0
Quebec,Airport,False,2017-05,2017,5,75
Ontario,Airport,False,2017-05,2017,5,180
Manitoba,Airport,False,2017-05,2017,5,0
Saskatchewan,Airport,False,2017-05,2017,5,0
Alberta,Airport,False,2017-05,2017,5,2
British Columbia,Airport,False,2017-05,2017,5,15
Nunavut,Airport,False,2017-05,2017,5,0
,Airport - Total,True,2017-05,2017,5,285
Newfoundland and Labrador,Border,False,2017-05,2017,5,0
Nova Scotia,Border,False,2017-05,2017,5,0
New Brunswick,Border,False,2017-05,2017,5,0
Quebec,Border,False,2017-05,2017,5,265
Ontario,Border,False,2017-05,2017,5,495
Manitoba,Border,False,2017-05,2017,5,125
Saskatchewan,Border,False,2017-05,2017,5,2
Alberta,Border,False,2017-05,2017,5,10
British Columbia,Border,False,2017-05,2017,5,20
Yukon,Border,False,2017-05,2017,5,0
,Border - Total,True,2017-05,2017,5,915
Newfoundland and Labrador,Inland,False,2017-05,2017,5,0
Prince Edward Island,Inland,False,2017-05,2017,5,0
Nova Scotia,Inland,False,2017-05,2017,5,2
New Brunswick,Inland,False,2017-05,2017,5,0
Quebec,Inland,False,2017-05,2017,5,720
Ontario,Inland,False,2017-05,2017,5,970
Manitoba,Inland,False,2017-05,2017,5,20
Saskatchewan,Inland,False,2017-05,2017,5,10
Alberta,Inland,False,2017-05,2017,5,75
British Columbia,Inland,False,2017-05,2017,5,135
Yukon,Inland,False,2017-05,2017,5,0
Northwest Territories,Inland,False,2017-05,2017,5,0
Nunavut,Inland,False,2017-05,2017,5,0
Province/Territory of claim not stated,Inland,False,2017-05,2017,5,0
,Inland - Total,True,2017-05,2017,5,1930
,Other Offices,False,2017-05,2017,5,0
,Total ,True,2017-05,2017,5,3130
Newfoundland and Labrador,Airport,False,2017-06,2017,6,0
Nova Scotia,Airport,False,2017-06,2017,6,0
New Brunswick,Airport,False,2017-06,2017,6,0
Quebec,Airport,False,2017-06,2017,6,75
Ontario,Airport,False,2017-06,2017,6,135
Manitoba,Airport,False,2017-06,2017,6,0
Saskatchewan,Airport,False,2017-06,2017,6,0
Alberta,Airport,False,2017-06,2017,6,2
British Columbia,Airport,False,2017-06,2017,6,20
Nunavut,Airport,False,2017-06,2017,6,0
,Airport - Total,True,2017-06,2017,6,235
Newfoundland and Labrador,Border,False,2017-06,2017,6,0
Nova Scotia,Border,False,2017-06,2017,6,0
New Brunswick,Border,False,2017-06,2017,6,0
Quebec,Border,False,2017-06,2017,6,270
Ontario,Border,False,2017-06,2017,6,450
Manitoba,Border,False,2017-06,2017,6,70
Saskatchewan,Border,False,2017-06,2017,6,2
Alberta,Border,False,2017-06,2017,6,25
British Columbia,Border,False,2017-06,2017,6,5
Yukon,Border,False,2017-06,2017,6,0
,Border - Total,True,2017-06,2017,6,825
Newfoundland and Labrador,Inland,False,2017-06,2017,6,0
Prince Edward Island,Inland,False,2017-06,2017,6,0
Nova Scotia,Inland,False,2017-06,2017,6,5
New Brunswick,Inland,False,2017-06,2017,6,0
Quebec,Inland,False,2017-06,2017,6,970
Ontario,Inland,False,2017-06,2017,6,975
Manitoba,Inland,False,2017-06,2017,6,15
Saskatchewan,Inland,False,2017-06,2017,6,10
Alberta,Inland,False,2017-06,2017,6,90
British Columbia,Inland,False,2017-06,2017,6,140
Yukon,Inland,False,2017-06,2017,6,0
Northwest Territories,Inland,False,2017-06,2017,6,0
Nunavut,Inland,False,2017-06,2017,6,0
Province/Territory of claim not stated,Inland,False,2017-06,2017,6,0
,Inland - Total,True,2017-06,2017,6,2205
,Other Offices,False,2017-06,2017,6,0
,Total ,True,2017-06,2017,6,3270
Newfoundland and Labrador,Airport,False,2017-07,2017,7,2
Nova Scotia,Airport,False,2017-07,2017,7,0
New Brunswick,Airport,False,2017-07,2017,7,0
Quebec,Airport,False,2017-07,2017,7,85
Ontario,Airport,False,2017-07,2017,7,180
Manitoba,Airport,False,2017-07,2017,7,0
Saskatchewan,Airport,False,2017-07,2017,7,0
Alberta,Airport,False,2017-07,2017,7,10
British Columbia,Airport,False,2017-07,2017,7,20
Nunavut,Airport,False,2017-07,2017,7,0
,Airport - Total,True,2017-07,2017,7,295
Newfoundland and Labrador,Border,False,2017-07,2017,7,0
Nova Scotia,Border,False,2017-07,2017,7,0
New Brunswick,Border,False,2017-07,2017,7,2
Quebec,Border,False,2017-07,2017,7,285
Ontario,Border,False,2017-07,2017,7,440
Manitoba,Border,False,2017-07,2017,7,95
Saskatchewan,Border,False,2017-07,2017,7,0
Alberta,Border,False,2017-07,2017,7,20
British Columbia,Border,False,2017-07,2017,7,30
Yukon,Border,False,2017-07,2017,7,0
,Border - Total,True,2017-07,2017,7,875
Newfoundland and Labrador,Inland,False,2017-07,2017,7,0
Prince Edward Island,Inland,False,2017-07,2017,7,0
Nova Scotia,Inland,False,2017-07,2017,7,5
New Brunswick,Inland,False,2017-07,2017,7,5
Quebec,Inland,False,2017-07,2017,7,2790
Ontario,Inland,False,2017-07,2017,7,875
Manitoba,Inland,False,2017-07,2017,7,10
Saskatchewan,Inland,False,2017-07,2017,7,5
Alberta,Inland,False,2017-07,2017,7,75
British Columbia,Inland,False,2017-07,2017,7,170
Yukon,Inland,False,2017-07,2017,7,0
Northwest Territories,Inland,False,2017-07,2017,7,0
Nunavut,Inland,False,2017-07,2017,7,0
Province/Territory of claim not stated,Inland,False,2017-07,2017,7,0
,Inland - Total,True,2017-07,2017,7,3940
,Other Offices,False,2017-07,2017,7,2
,Total ,True,2017-07,2017,7,5115
Newfoundland and Labrador,Airport,False,2017-08,2017,8,0
Nova Scotia,Airport,False,2017-08,2017,8,0
New Brunswick,Airport,False,2017-08,2017,8,0
Quebec,Airport,False,2017-08,2017,8,105
Ontario,Airport,False,2017-08,2017,8,150
Manitoba,Airport,False,2017-08,2017,8,0
Saskatchewan,Airport,False,2017-08,2017,8,0
Alberta,Airport,False,2017-08,2017,8,2
British Columbia,Airport,False,2017-08,2017,8,15
Nunavut,Airport,False,2017-08,2017,8,0
,Airport - Total,True,2017-08,2017,8,270
Newfoundland and Labrador,Border,False,2017-08,2017,8,0
Nova Scotia,Border,False,2017-08,2017,8,0
New Brunswick,Border,False,2017-08,2017,8,0
Quebec,Border,False,2017-08,2017,8,290
Ontario,Border,False,2017-08,2017,8,575
Manitoba,Border,False,2017-08,2017,8,85
Saskatchewan,Border,False,2017-08,2017,8,0
Alberta,Border,False,2017-08,2017,8,25
British Columbia,Border,False,2017-08,2017,8,40
Yukon,Border,False,2017-08,2017,8,0
,Border - Total,True,2017-08,2017,8,1015
Newfoundland and Labrador,Inland,False,2017-08,2017,8,2
Prince Edward Island,Inland,False,2017-08,2017,8,0
Nova Scotia,Inland,False,2017-08,2017,8,2
New Brunswick,Inland,False,2017-08,2017,8,2
Quebec,Inland,False,2017-08,2017,8,5635
Ontario,Inland,False,2017-08,2017,8,1415
Manitoba,Inland,False,2017-08,2017,8,30
Saskatchewan,Inland,False,2017-08,2017,8,10
Alberta,Inland,False,2017-08,2017,8,135
British Columbia,Inland,False,2017-08,2017,8,275
Yukon,Inland,False,2017-08,2017,8,0
Northwest Territories,Inland,False,2017-08,2017,8,0
Nunavut,Inland,False,2017-08,2017,8,0
Province/Territory of claim not stated,Inland,False,2017-08,2017,8,0
,Inland - Total,True,2017-08,2017,8,7505
,Other Offices,False,2017-08,2017,8,2
,Total ,True,2017-08,2017,8,8795
Newfoundland and Labrador,Airport,False,2017-09,2017,9,0
Nova Scotia,Airport,False,2017-09,2017,9,2
New Brunswick,Airport,False,2017-09,2017,9,0
Quebec,Airport,False,2017-09,2017,9,125
Ontario,Airport,False,2017-09,2017,9,240
Manitoba,Airport,False,2017-09,2017,9,0
Saskatchewan,Airport,False,2017-09,2017,9,0
Alberta,Airport,False,2017-09,2017,9,10
British Columbia,Airport,False,2017-09,2017,9,20
Nunavut,Airport,False,2017-09,2017,9,2
,Airport - Total,True,2017-09,2017,9,400
Newfoundland and Labrador,Border,False,2017-09,2017,9,0
Nova Scotia,Border,False,2017-09,2017,9,0
New Brunswick,Border,False,2017-09,2017,9,0
Quebec,Border,False,2017-09,2017,9,200
Ontario,Border,False,2017-09,2017,9,490
Manitoba,Border,False,2017-09,2017,9,75
Saskatchewan,Border,False,2017-09,2017,9,0
Alberta,Border,False,2017-09,2017,9,35
British Columbia,Border,False,2017-09,2017,9,50
Yukon,Border,False,2017-09,2017,9,0
,Border - Total,True,2017-09,2017,9,855
Newfoundland and Labrador,Inland,False,2017-09,2017,9,2
Prince Edward Island,Inland,False,2017-09,2017,9,0
Nova Scotia,Inland,False,2017-09,2017,9,2
New Brunswick,Inland,False,2017-09,2017,9,0
Quebec,Inland,False,2017-09,2017,9,2110
Ontario,Inland,False,2017-09,2017,9,1010
Manitoba,Inland,False,2017-09,2017,9,10
Saskatchewan,Inland,False,2017-09,2017,9,5
Alberta,Inland,False,2017-09,2017,9,100
British Columbia,Inland,False,2017-09,2017,9,210
Yukon,Inland,False,2017-09,2017,9,0
Northwest Territories,Inland,False,2017-09,2017,9,0
Nunavut,Inland,False,2017-09,2017,9,0
Province/Territory of claim not stated,Inland,False,2017-09,2017,9,0
,Inland - Total,True,2017-09,2017,9,3460
,Other Offices,False,2017-09,2017,9,2
,Total ,True,2017-09,2017,9,4715
Newfoundland and Labrador,Airport,False,2017-10,2017,10,0
Nova Scotia,Airport,False,2017-10,2017,10,0
New Brunswick,Airport,False,2017-10,2017,10,0
Quebec,Airport,False,2017-10,2017,10,115
Ontario,Airport,False,2017-10,2017,10,265
Manitoba,Airport,False,2017-10,2017,10,0
Saskatchewan,Airport,False,2017-10,2017,10,0
Alberta,Airport,False,2017-10,2017,10,5
British Columbia,Airport,False,2017-10,2017,10,25
Nunavut,Airport,False,2017-10,2017,10,0
,Airport - Total,True,2017-10,2017,10,405
Newfoundland and Labrador,Border,False,2017-10,2017,10,0
Nova Scotia,Border,False,2017-10,2017,10,0
New Brunswick,Border,False,2017-10,2017,10,2
Quebec,Border,False,2017-10,2017,10,265
Ontario,Border,False,2017-10,2017,10,425
Manitoba,Border,False,2017-10,2017,10,75
Saskatchewan,Border,False,2017-10,2017,10,2
Alberta,Border,False,2017-10,2017,10,10
British Columbia,Border,False,2017-10,2017,10,20
Yukon,Border,False,2017-10,2017,10,0
,Border - Total,True,2017-10,2017,10,800
Newfoundland and Labrador,Inland,False,2017-10,2017,10,2
Prince Edward Island,Inland,False,2017-10,2017,10,0
Nova Scotia,Inland,False,2017-10,2017,10,2
New Brunswick,Inland,False,2017-10,2017,10,0
Quebec,Inland,False,2017-10,2017,10,2165
Ontario,Inland,False,2017-10,2017,10,1015
Manitoba,Inland,False,2017-10,2017,10,35
Saskatchewan,Inland,False,2017-10,2017,10,2
Alberta,Inland,False,2017-10,2017,10,130
British Columbia,Inland,False,2017-10,2017,10,195
Yukon,Inland,False,2017-10,2017,10,0
Northwest Territories,Inland,False,2017-10,2017,10,0
Nunavut,Inland,False,2017-10,2017,10,0
Province/Territory of claim not stated,Inland,False,2017-10,2017,10,0
,Inland - Total,True,2017-10,2017,10,3550
,Other Offices,False,2017-10,2017,10,0
,Total ,True,2017-10,2017,10,4755
Newfoundland and Labrador,Airport,False,2017-11,2017,11,2
Nova Scotia,Airport,False,2017-11,2017,11,0
New Brunswick,Airport,False,2017-11,2017,11,0
Quebec,Airport,False,2017-11,2017,11,100
Ontario,Airport,False,2017-11,2017,11,195
Manitoba,Airport,False,2017-11,2017,11,2
Saskatchewan,Airport,False,2017-11,2017,11,0
Alberta,Airport,False,2017-11,2017,11,2
British Columbia,Airport,False,2017-11,2017,11,15
Nunavut,Airport,False,2017-11,2017,11,2
,Airport - Total,True,2017-11,2017,11,320
Newfoundland and Labrador,Border,False,2017-11,2017,11,0
Nova Scotia,Border,False,2017-11,2017,11,0
New Brunswick,Border,False,2017-11,2017,11,0
Quebec,Border,False,2017-11,2017,11,245
Ontario,Border,False,2017-11,2017,11,315
Manitoba,Border,False,2017-11,2017,11,40
Saskatchewan,Border,False,2017-11,2017,11,5
Alberta,Border,False,2017-11,2017,11,10
British Columbia,Border,False,2017-11,2017,11,30
Yukon,Border,False,2017-11,2017,11,0
,Border - Total,True,2017-11,2017,11,645
Newfoundland and Labrador,Inland,False,2017-11,2017,11,0
Prince Edward Island,Inland,False,2017-11,2017,11,0
Nova Scotia,Inland,False,2017-11,2017,11,10
New Brunswick,Inland,False,2017-11,2017,11,2
Quebec,Inland,False,2017-11,2017,11,1835
Ontario,Inland,False,2017-11,2017,11,1120
Manitoba,Inland,False,2017-11,2017,11,20
Saskatchewan,Inland,False,2017-11,2017,11,0
Alberta,Inland,False,2017-11,2017,11,90
British Columbia,Inland,False,2017-11,2017,11,140
Yukon,Inland,False,2017-11,2017,11,0
Northwest Territories,Inland,False,2017-11,2017,11,0
Nunavut,Inland,False,2017-11,2017,11,0
Province/Territory of claim not stated,Inland,False,2017-11,2017,11,0
,Inland - Total,True,2017-11,2017,11,3215
,Other Offices,False,2017-11,2017,11,2
,Total ,True,2017-11,2017,11,4185
Newfoundland and Labrador,Airport,False,2017-12,2017,12,0
Nova Scotia,Airport,False,2017-12,2017,12,0
New Brunswick,Airport,False,2017-12,2017,12,0
Quebec,Airport,False,2017-12,2017,12,235
Ontario,Airport,False,2017-12,2017,12,390
Manitoba,Airport,False,2017-12,2017,12,0
Saskatchewan,Airport,False,2017-12,2017,12,0
Alberta,Airport,False,2017-12,2017,12,20
British Columbia,Airport,False,2017-12,2017,12,15
Nunavut,Airport,False,2017-12,2017,12,0
,Airport - Total,True,2017-12,2017,12,660
Newfoundland and Labrador,Border,False,2017-12,2017,12,0
Nova Scotia,Border,False,2017-12,2017,12,0
New Brunswick,Border,False,2017-12,2017,12,2
Quebec,Border,False,2017-12,2017,12,280
Ontario,Border,False,2017-12,2017,12,330
Manitoba,Border,False,2017-12,2017,12,20
Saskatchewan,Border,False,2017-12,2017,12,0
Alberta,Border,False,2017-12,2017,12,10
British Columbia,Border,False,2017-12,2017,12,35
Yukon,Border,False,2017-12,2017,12,0
,Border - Total,True,2017-12,2017,12,675
Newfoundland and Labrador,Inland,False,2017-12,2017,12,0
Prince Edward Island,Inland,False,2017-12,2017,12,0
Nova Scotia,Inland,False,2017-12,2017,12,10
New Brunswick,Inland,False,2017-12,2017,12,2
Quebec,Inland,False,2017-12,2017,12,2075
Ontario,Inland,False,2017-12,2017,12,755
Manitoba,Inland,False,2017-12,2017,12,15
Saskatchewan,Inland,False,2017-12,2017,12,2
Alberta,Inland,False,2017-12,2017,12,90
British Columbia,Inland,False,2017-12,2017,12,80
Yukon,Inland,False,2017-12,2017,12,0
Northwest Territories,Inland,False,2017-12,2017,12,0
Nunavut,Inland,False,2017-12,2017,12,0
Province/Territory of claim not stated,Inland,False,2017-12,2017,12,0
,Inland - Total,True,2017-12,2017,12,3035
,Other Offices,False,2017-12,2017,12,2
,Total ,True,2017-12,2017,12,4375
Newfoundland and Labrador,Airport,False,2018-01,2018,1,0
Nova Scotia,Airport,False,2018-01,2018,1,0
New Brunswick,Airport,False,2018-01,2018,1,0
Quebec,Airport,False,2018-01,2018,1,140
Ontario,Airport,False,2018-01,2018,1,370
Manitoba,Airport,False,2018-01,2018,1,0
Saskatchewan,Airport,False,2018-01,2018,1,2
Alberta,Airport,False,2018-01,2018,1,2
British Columbia,Airport,False,2018-01,2018,1,10
Nunavut,Airport,False,2018-01,2018,1,0
,Airport - Total,True,2018-01,2018,1,530
Newfoundland and Labrador,Border,False,2018-01,2018,1,0
Nova Scotia,Border,False,2018-01,2018,1,0
New Brunswick,Border,False,2018-01,2018,1,0
Quebec,Border,False,2018-01,2018,1,210
Ontario,Border,False,2018-01,2018,1,290
Manitoba,Border,False,2018-01,2018,1,15
Saskatchewan,Border,False,2018-01,2018,1,2
Alberta,Border,False,2018-01,2018,1,15
British Columbia,Border,False,2018-01,2018,1,50
Yukon,Border,False,2018-01,2018,1,0
,Border - Total,True,2018-01,2018,1,580
Newfoundland and Labrador,Inland,False,2018-01,2018,1,5
Prince Edward Island,Inland,False,2018-01,2018,1,0
Nova Scotia,Inland,False,2018-01,2018,1,2
New Brunswick,Inland,False,2018-01,2018,1,2
Quebec,Inland,False,2018-01,2018,1,1735
Ontario,Inland,False,2018-01,2018,1,945
Manitoba,Inland,False,2018-01,2018,1,20
Saskatchewan,Inland,False,2018-01,2018,1,5
Alberta,Inland,False,2018-01,2018,1,95
British Columbia,Inland,False,2018-01,2018,1,80
Yukon,Inland,False,2018-01,2018,1,0
Northwest Territories,Inland,False,2018-01,2018,1,0
Nunavut,Inland,False,2018-01,2018,1,0
Province/Territory of claim not stated,Inland,False,2018-01,2018,1,0
,Inland - Total,True,2018-01,2018,1,2890
,Other Offices,False,2018-01,2018,1,2
,Total ,True,2018-01,2018,1,4000
Newfoundland and Labrador,Airport,False,2018-02,2018,2,0
Nova Scotia,Airport,False,2018-02,2018,2,0
New Brunswick,Airport,False,2018-02,2018,2,0
Quebec,Airport,False,2018-02,2018,2,180
Ontario,Airport,False,2018-02,2018,2,255
Manitoba,Airport,False,2018-02,2018,2,0
Saskatchewan,Airport,False,2018-02,2018,2,0
Alberta,Airport,False,2018-02,2018,2,2
British Columbia,Airport,False,2018-02,2018,2,10
Nunavut,Airport,False,2018-02,2018,2,0
,Airport - Total,True,2018-02,2018,2,445
Newfoundland and Labrador,Border,False,2018-02,2018,2,0
Nova Scotia,Border,False,2018-02,2018,2,0
New Brunswick,Border,False,2018-02,2018,2,0
Quebec,Border,False,2018-02,2018,2,185
Ontario,Border,False,2018-02,2018,2,225
Manitoba,Border,False,2018-02,2018,2,30
Saskatchewan,Border,False,2018-02,2018,2,0
Alberta,Border,False,2018-02,2018,2,25
British Columbia,Border,False,2018-02,2018,2,50
Yukon,Border,False,2018-02,2018,2,0
,Border - Total,True,2018-02,2018,2,515
Newfoundland and Labrador,Inland,False,2018-02,2018,2,2
Prince Edward Island,Inland,False,2018-02,2018,2,0
Nova Scotia,Inland,False,2018-02,2018,2,2
New Brunswick,Inland,False,2018-02,2018,2,2
Quebec,Inland,False,2018-02,2018,2,1755
Ontario,Inland,False,2018-02,2018,2,965
Manitoba,Inland,False,2018-02,2018,2,20
Saskatchewan,Inland,False,2018-02,2018,2,5
Alberta,Inland,False,2018-02,2018,2,80
British Columbia,Inland,False,2018-02,2018,2,110
Yukon,Inland,False,2018-02,2018,2,0
Northwest Territories,Inland,False,2018-02,2018,2,0
Nunavut,Inland,False,2018-02,2018,2,0
Province/Territory of claim not stated,Inland,False,2018-02,2018,2,0
,Inland - Total,True,2018-02,2018,2,2945
,Other Offices,False,2018-02,2018,2,0
,Total ,True,2018-02,2018,2,3905
Newfoundland and Labrador,Airport,False,2018-03,2018,3,0
Nova Scotia,Airport,False,2018-03,2018,3,2
New Brunswick,Airport,False,2018-03,2018,3,0
Quebec,Airport,False,2018-03,2018,3,245
Ontario,Airport,False,2018-03,2018,3,215
Manitoba,Airport,False,2018-03,2018,3,0
Saskatchewan,Airport,False,2018-03,2018,3,0
Alberta,Airport,False,2018-03,2018,3,5
British Columbia,Airport,False,2018-03,2018,3,5
Nunavut,Airport,False,2018-03,2018,3,0
,Airport - Total,True,2018-03,2018,3,475
Newfoundland and Labrador,Border,False,2018-03,2018,3,0
Nova Scotia,Border,False,2018-03,2018,3,0
New Brunswick,Border,False,2018-03,2018,3,2
Quebec,Border,False,2018-03,2018,3,1615
Ontario,Border,False,2018-03,2018,3,250
Manitoba,Border,False,2018-03,2018,3,55
Saskatchewan,Border,False,2018-03,2018,3,0
Alberta,Border,False,2018-03,2018,3,25
British Columbia,Border,False,2018-03,2018,3,60
Yukon,Border,False,2018-03,2018,3,0
,Border - Total,True,2018-03,2018,3,2005
Newfoundland and Labrador,Inland,False,2018-03,2018,3,2
Prince Edward Island,Inland,False,2018-03,2018,3,0
Nova Scotia,Inland,False,2018-03,2018,3,2
New Brunswick,Inland,False,2018-03,2018,3,5
Quebec,Inland,False,2018-03,2018,3,705
Ontario,Inland,False,2018-03,2018,3,825
Manitoba,Inland,False,2018-03,2018,3,15
Saskatchewan,Inland,False,2018-03,2018,3,2
Alberta,Inland,False,2018-03,2018,3,65
British Columbia,Inland,False,2018-03,2018,3,100
Yukon,Inland,False,2018-03,2018,3,0
Northwest Territories,Inland,False,2018-03,2018,3,0
Nunavut,Inland,False,2018-03,2018,3,0
Province/Territory of claim not stated,Inland,False,2018-03,2018,3,0
,Inland - Total,True,2018-03,2018,3,1720
,Other Offices,False,2018-03,2018,3,2
,Total ,True,2018-03,2018,3,4200
Newfoundland and Labrador,Airport,False,2018-04,2018,4,0
Nova Scotia,Airport,False,2018-04,2018,4,0
New Brunswick,Airport,False,2018-04,2018,4,0
Quebec,Airport,False,2018-04,2018,4,175
Ontario,Airport,False,2018-04,2018,4,350
Manitoba,Airport,False,2018-04,2018,4,0
Saskatchewan,Airport,False,2018-04,2018,4,0
Alberta,Airport,False,2018-04,2018,4,5
British Columbia,Airport,False,2018-04,2018,4,5
Nunavut,Airport,False,2018-04,2018,4,0
,Airport - Total,True,2018-04,2018,4,540
Newfoundland and Labrador,Border,False,2018-04,2018,4,0
Nova Scotia,Border,False,2018-04,2018,4,0
New Brunswick,Border,False,2018-04,2018,4,0
Quebec,Border,False,2018-04,2018,4,2500
Ontario,Border,False,2018-04,2018,4,225
Manitoba,Border,False,2018-04,2018,4,50
Saskatchewan,Border,False,2018-04,2018,4,0
Alberta,Border,False,2018-04,2018,4,15
British Columbia,Border,False,2018-04,2018,4,55
Yukon,Border,False,2018-04,2018,4,0
,Border - Total,True,2018-04,2018,4,2845
Newfoundland and Labrador,Inland,False,2018-04,2018,4,0
Prince Edward Island,Inland,False,2018-04,2018,4,0
Nova Scotia,Inland,False,2018-04,2018,4,2
New Brunswick,Inland,False,2018-04,2018,4,5
Quebec,Inland,False,2018-04,2018,4,535
Ontario,Inland,False,2018-04,2018,4,670
Manitoba,Inland,False,2018-04,2018,4,10
Saskatchewan,Inland,False,2018-04,2018,4,5
Alberta,Inland,False,2018-04,2018,4,90
British Columbia,Inland,False,2018-04,2018,4,100
Yukon,Inland,False,2018-04,2018,4,0
Northwest Territories,Inland,False,2018-04,2018,4,0
Nunavut,Inland,False,2018-04,2018,4,0
Province/Territory of claim not stated,Inland,False,2018-04,2018,4,0
,Inland - Total,True,2018-04,2018,4,1425
,Other Offices,False,2018-04,2018,4,0
,Total ,True,2018-04,2018,4,4810
Newfoundland and Labrador,Airport,False,2018-05,2018,5,0
Nova Scotia,Airport,False,2018-05,2018,5,0
New Brunswick,Airport,False,2018-05,2018,5,0
Quebec,Airport,False,2018-05,2018,5,245
Ontario,Airport,False,2018-05,2018,5,395
Manitoba,Airport,False,2018-05,2018,5,0
Saskatchewan,Airport,False,2018-05,2018,5,0
Alberta,Airport,False,2018-05,2018,5,5
British Columbia,Airport,False,2018-05,2018,5,10
Nunavut,Airport,False,2018-05,2018,5,0
,Airport - Total,True,2018-05,2018,5,660
Newfoundland and Labrador,Border,False,2018-05,2018,5,0
Nova Scotia,Border,False,2018-05,2018,5,0
New Brunswick,Border,False,2018-05,2018,5,0
Quebec,Border,False,2018-05,2018,5,1860
Ontario,Border,False,2018-05,2018,5,215
Manitoba,Border,False,2018-05,2018,5,40
Saskatchewan,Border,False,2018-05,2018,5,0
Alberta,Border,False,2018-05,2018,5,20
British Columbia,Border,False,2018-05,2018,5,70
Yukon,Border,False,2018-05,2018,5,0
,Border - Total,True,2018-05,2018,5,2205
Newfoundland and Labrador,Inland,False,2018-05,2018,5,2
Prince Edward Island,Inland,False,2018-05,2018,5,0
Nova Scotia,Inland,False,2018-05,2018,5,5
New Brunswick,Inland,False,2018-05,2018,5,2
Quebec,Inland,False,2018-05,2018,5,435
Ontario,Inland,False,2018-05,2018,5,1030
Manitoba,Inland,False,2018-05,2018,5,5
Saskatchewan,Inland,False,2018-05,2018,5,5
Alberta,Inland,False,2018-05,2018,5,70
British Columbia,Inland,False,2018-05,2018,5,100
Yukon,Inland,False,2018-05,2018,5,0
Northwest Territories,Inland,False,2018-05,2018,5,0
Nunavut,Inland,False,2018-05,2018,5,0
Province/Territory of claim not stated,Inland,False,2018-05,2018,5,0
,Inland - Total,True,2018-05,2018,5,1660
,Other Offices,False,2018-05,2018,5,5
,Total ,True,2018-05,2018,5,4530
Newfoundland and Labrador,Airport,False,2018-06,2018,6,2
Nova Scotia,Airport,False,2018-06,2018,6,0
New Brunswick,Airport,False,2018-06,2018,6,0
Quebec,Airport,False,2018-06,2018,6,245
Ontario,Airport,False,2018-06,2018,6,280
Manitoba,Airport,False,2018-06,2018,6,0
Saskatchewan,Airport,False,2018-06,2018,6,0
Alberta,Airport,False,2018-06,2018,6,10
British Columbia,Airport,False,2018-06,2018,6,5
Nunavut,Airport,False,2018-06,2018,6,0
,Airport - Total,True,2018-06,2018,6,545
Newfoundland and Labrador,Border,False,2018-06,2018,6,0
Nova Scotia,Border,False,2018-06,2018,6,0
New Brunswick,Border,False,2018-06,2018,6,0
Quebec,Border,False,2018-06,2018,6,1220
Ontario,Border,False,2018-06,2018,6,310
Manitoba,Border,False,2018-06,2018,6,35
Saskatchewan,Border,False,2018-06,2018,6,0
Alberta,Border,False,2018-06,2018,6,20
British Columbia,Border,False,2018-06,2018,6,55
Yukon,Border,False,2018-06,2018,6,0
,Border - Total,True,2018-06,2018,6,1640
Newfoundland and Labrador,Inland,False,2018-06,2018,6,0
Prince Edward Island,Inland,False,2018-06,2018,6,0
Nova Scotia,Inland,False,2018-06,2018,6,2
New Brunswick,Inland,False,2018-06,2018,6,2
Quebec,Inland,False,2018-06,2018,6,480
Ontario,Inland,False,2018-06,2018,6,915
Manitoba,Inland,False,2018-06,2018,6,10
Saskatchewan,Inland,False,2018-06,2018,6,2
Alberta,Inland,False,2018-06,2018,6,65
British Columbia,Inland,False,2018-06,2018,6,110
Yukon,Inland,False,2018-06,2018,6,0
Northwest Territories,Inland,False,2018-06,2018,6,0
Nunavut,Inland,False,2018-06,2018,6,0
Province/Territory of claim not stated,Inland,False,2018-06,2018,6,0
,Inland - Total,True,2018-06,2018,6,1590
,Other Offices,False,2018-06,2018,6,2
,Total ,True,2018-06,2018,6,3775
Newfoundland and Labrador,Airport,False,2018-07,2018,7,0
Nova Scotia,Airport,False,2018-07,2018,7,0
New Brunswick,Airport,False,2018-07,2018,7,0
Quebec,Airport,False,2018-07,2018,7,205
Ontario,Airport,False,2018-07,2018,7,280
Manitoba,Airport,False,2018-07,2018,7,0
Saskatchewan,Airport,False,2018-07,2018,7,0
Alberta,Airport,False,2018-07,2018,7,2
British Columbia,Airport,False,2018-07,2018,7,10
Nunavut,Airport,False,2018-07,2018,7,0
,Airport - Total,True,2018-07,2018,7,495
Newfoundland and Labrador,Border,False,2018-07,2018,7,0
Nova Scotia,Border,False,2018-07,2018,7,0
New Brunswick,Border,False,2018-07,2018,7,2
Quebec,Border,False,2018-07,2018,7,1620
Ontario,Border,False,2018-07,2018,7,335
Manitoba,Border,False,2018-07,2018,7,55
Saskatchewan,Border,False,2018-07,2018,7,0
Alberta,Border,False,2018-07,2018,7,40
British Columbia,Border,False,2018-07,2018,7,50
Yukon,Border,False,2018-07,2018,7,0
,Border - Total,True,2018-07,2018,7,2100
Newfoundland and Labrador,Inland,False,2018-07,2018,7,10
