province_territory,claim_office_type,total_flag,year_month,year,month,value
Province/Territory of claim not stated,Inland,False,2015-03,2015,3,0
,Inland - Total,True,2015-03,2015,3,660
,Other Offices,False,2015-03,2015,3,2
,Total ,True,2015-03,2015,3,1130
Newfoundland and Labrador,Airport,False,2015-04,2015,4,0
Nova Scotia,Airport,False,2015-04,2015,4,0
New Brunswick,Airport,False,2015-04,2015,4,0
Quebec,Airport,False,2015-04,2015,4,25
Ontario,Airport,False,2015-04,2015,4,155
Manitoba,Airport,False,2015-04,2015,4,0
Saskatchewan,Airport,False,2015-04,2015,4,0
Alberta,Airport,False,2015-04,2015,4,2
British Columbia,Airport,False,2015-04,2015,4,5
Nunavut,Airport,False,2015-04,2015,4,0
,Airport - Total,True,2015-04,2015,4,185
Newfoundland and Labrador,Border,False,2015-04,2015,4,0
Nova Scotia,Border,False,2015-04,2015,4,0
New Brunswick,Border,False,2015-04,2015,4,0
Quebec,Border,False,2015-04,2015,4,70
Ontario,Border,False,2015-04,2015,4,160
Manitoba,Border,False,2015-04,2015,4,2
Saskatchewan,Border,False,2015-04,2015,4,0
Alberta,Border,False,2015-04,2015,4,2
British Columbia,Border,False,2015-04,2015,4,2
Yukon,Border,False,2015-04,2015,4,0
,Border - Total,True,2015-04,2015,4,240
Newfoundland and Labrador,Inland,False,2015-04,2015,4,0
Prince Edward Island,Inland,False,2015-04,2015,4,0
Nova Scotia,Inland,False,2015-04,2015,4,2
New Brunswick,Inland,False,2015-04,2015,4,0
Quebec,Inland,False,2015-04,2015,4,115
Ontario,Inland,False,2015-04,2015,4,480
Manitoba,Inland,False,2015-04,2015,4,20
Saskatchewan,Inland,False,2015-04,2015,4,0
Alberta,Inland,False,2015-04,2015,4,35
British Columbia,Inland,False,2015-04,2015,4,40
Yukon,Inland,False,2015-04,2015,4,0
Northwest Territories,Inland,False,2015-04,2015,4,0
Nunavut,Inland,False,2015-04,2015,4,0
Province/Territory of claim not stated,Inland,False,2015-04,2015,4,0
,Inland - Total,True,2015-04,2015,4,700
,Other Offices,False,2015-04,2015,4,0
,Total ,True,2015-04,2015,4,1125
Newfoundland and Labrador,Airport,False,2015-05,2015,5,0
Nova Scotia,Airport,False,2015-05,2015,5,0
New Brunswick,Airport,False,2015-05,2015,5,0
Quebec,Airport,False,2015-05,2015,5,30
Ontario,Airport,False,2015-05,2015,5,190
Manitoba,Airport,False,2015-05,2015,5,0
Saskatchewan,Airport,False,2015-05,2015,5,0
Alberta,Airport,False,2015-05,2015,5,2
British Columbia,Airport,False,2015-05,2015,5,2
Nunavut,Airport,False,2015-05,2015,5,0
,Airport - Total,True,2015-05,2015,5,225
Newfoundland and Labrador,Border,False,2015-05,2015,5,0
Nova Scotia,Border,False,2015-05,2015,5,0
New Brunswick,Border,False,2015-05,2015,5,0
Quebec,Border,False,2015-05,2015,5,80
Ontario,Border,False,2015-05,2015,5,185
Manitoba,Border,False,2015-05,2015,5,15
Saskatchewan,Border,False,2015-05,2015,5,0
Alberta,Border,False,2015-05,2015,5,10
British Columbia,Border,False,2015-05,2015,5,15
