province_territory,category_1,category_2,total_flag,year,value
British Columbia,Other Temporary Foreign Workers with LMIA,,False,2000,"3,020"
British Columbia,Caregivers,,False,2000,0
British Columbia,,,True,2000,"4,550"
Yukon,Live-In Caregivers,Live-In Caregiver Program,False,2000,5
Yukon,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,0
Yukon,Live-In Caregivers,,True,2000,5
Yukon,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,0
Yukon,Agricultural Workers,Other Agricultural Workers,False,2000,0
Yukon,Agricultural Workers,,True,2000,0
Yukon,Other Temporary Foreign Workers with LMIA,,False,2000,15
Yukon,Caregivers,,False,2000,0
Yukon,,,True,2000,20
Northwest Territories,Live-In Caregivers,Live-In Caregiver Program,False,2000,20
Northwest Territories,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,
Northwest Territories,Live-In Caregivers,,True,2000,25
Northwest Territories,Agricultural Workers,Agricultural Stream,False,2000,0
Northwest Territories,Agricultural Workers,Other Agricultural Workers,False,2000,
Northwest Territories,Agricultural Workers,,True,2000,
Northwest Territories,Other Temporary Foreign Workers with LMIA,,False,2000,65
Northwest Territories,Caregivers,,False,2000,0
Northwest Territories,,,True,2000,90
Nunavut,Live-In Caregivers,Live-In Caregiver Program,False,2000,0
Nunavut,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,
Nunavut,Live-In Caregivers,,True,2000,
Nunavut,Agricultural Workers,Other Agricultural Workers,False,2000,0
Nunavut,Agricultural Workers,,True,2000,0
Nunavut,Other Temporary Foreign Workers with LMIA,,False,2000,10
Nunavut,Caregivers,,False,2000,0
Nunavut,,,True,2000,10
Province / Territory not stated,Not stated,,False,2000,5
Total,,,True,2000,"22,470"
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Program,False,2001,
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,
Newfoundland and Labrador,Live-In Caregivers,,True,2001,5
Newfoundland and Labrador,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Newfoundland and Labrador,Agricultural Workers,Agricultural Stream,False,2001,0
Newfoundland and Labrador,Agricultural Workers,Other Agricultural Workers,False,2001,0
